982;Hans e Alice Zevi
983;Italic
984;Damol Graf
985;ADV
986;Marcos y Marcos
987;out
988;LT edizioni ( Giachetti )
989;Scala
990;Zephiro
991;SER
992;Armando Curcio Editore
993;Sirene
994;OGB
995;Malcor ( Negroni )
996;Dario De Bastiani Editore
997;New Press edizioni
998;Paolo Emilio Persiani
999;Edizioni dei cammini
1000;edizion
1001;Andrea Pacilli editore
1002;Edizioni Terra Santa
1003;
1004;Comunità montana
1005;Cai Cededolo
1006;Il Palindromo
1007;Res Gestae
1008;Peluso
1009;Pequod
1010;La nave di Teseo
1011;Ripostes
1012;il Cerchio
1013;Altreconomia
1014;Ibiskos
1015;Fazi
1016;l' Artistica editrice
1017;Castelvecchi
1018;Valtrend
1019;Abao Aqu
1020;Il Melangolo
1021;4 Land
1022;Cineteca Bologna
1023;Marlin
1024;DREAM
1025;Ricerche & Redazioni
1026;ComunicAzione
1027;Il Guyale
1028;Elliot  Lit
1029;Il Trebbo
1030;Fabbrica dei Segni
1031;Editore 1031. Modif. questo campo per immetterlo!
1032;Burian
1033;Geomedia
1034;Rupolo RPMM
1035;Federighi editore
1036;Grapho
1037;Rosenberg&Sellier
1038;Ombre Corte
1039;Darkside
1040;Ouverture Edizioni
1041;Imago
1042;Globalmap
1043;Archivio storia
1044;Ricca
1045;Meridiano zero
1046;CAI Castroviollari
1047;Il Geko
1048;Andrea Garreffa
1049;Atelier
1050;Youcanprint
1051;I libri di Emil
1052;Gabriele Capelli editore
1053;Orama
1054;Società Editrice Apuana
1055;Publistampa Edizioni
1056;Edizioni Cinque Terre
1057;A Sàm Màt editore
1058;Edizioni Medicea Firenze
1059;CAI RER
1060;Editoriale Programma
1061;Laurum
1062;Edizioni Dolomiti
1063;Compagnia delle Foreste
1064;Lit
1065;Lindau
1066;Solferino
1067;Moroni
1068;MonteRosa edizioni
1069;Hema
1070;Nuova Editrice Berti
1071;Uta Molin
1072;Aska
1073;80144 Edizioni
1074;Perrone
